Номер закладной	Дата выдачи	Дата погашения	Текущий ОД	Ставка по кредиту	Кредит/Залог	Регион	Первоначальный ОД	Доходы заемщика	Образование	Продукт
1	2006-07-25	2031-01-28	943104.39	14.0	82.47	66	1435000.0	28595.16	3	0
2	2006-09-20	2026-11-20	1098889.6	14.0	90.0	74	1578600.0	54376.62	3	0
3	2006-09-27	2024-03-11	904145.03	15.0	68.43	11	2500000.0	106459.92	3	0
4	2006-10-05	2031-02-28	584428.17	14.0	70.52	66	1000000.0	42630.0	3	0
5	2006-10-09	2031-10-10	766744.67	14.0	23.88	77	1355500.0	41896.48	3	0
6	2006-10-23	2025-02-10	389117.49	14.0	77.35	77	3450000.0	78644.21	3	0
7	2006-11-28	2021-12-20	325037.02	13.5	80.18	54	1700000.0	45216.34	3	0
8	2006-12-08	2019-09-18	120067.42	14.0	82.0	72	2050000.0	57420.0	3	0
9	2006-12-19	2022-02-18	565374.66	13.5	76.5	74	1541600.0	40030.87	3	0
10	2006-12-21	2032-02-20	337754.33	15.0	86.48	66	1900000.0	48937.5	3	0
11	2006-12-22	2022-02-22	329981.89	13.0	89.94	24	921000.0	22690.08	3	0
12	2007-01-19	2026-10-28	370442.44	13.5	84.07	24	850000.0	21488.88	3	0
13	2007-01-31	2027-03-31	450684.87	13.5	79.01	24	644000.0	17299.2	3	0
14	2007-03-09	2019-03-30	0.0	14.0	87.54	34	1300000.0	54203.09	3	0
15	2007-04-13	2032-06-11	620410.39	14.0	80.07	77	3730000.0	75000.0	3	0
16	2007-04-25	2027-03-18	368636.13	14.0	82.6	72	1900000.0	29937.25	3	0
17	2007-04-27	2022-06-27	465827.76	13.5	84.29	66	2050000.0	20612.91	3	0
18	2007-05-07	2027-07-07	1176312.69	14.0	79.96	29	1620000.0	22100.0	3	0
19	2007-05-21	2032-07-21	604227.8	13.5	85.0	72	1445000.0	25373.86	3	0
20	2007-06-15	2022-03-18	966189.46	13.0	80.6	72	2660000.0	61579.8	3	0
21	2007-06-20	2022-08-19	598954.66	13.5	89.96	14	1425000.0	35960.0	5	0
22	2007-06-20	2032-08-20	664434.75	15.0	66.37	74	750000.0	12781.87	3	0
23	2007-06-26	2022-08-26	574652.52	14.5	70.45	74	1320000.0	26360.25	3	0
24	2007-07-04	2026-09-04	906627.03	14.5	34.98	77	2500000.0	50613.65	3	0
25	2007-07-10	2022-09-12	534664.35	12.5	83.87	72	1300000.0	29062.29	3	0
26	2007-07-16	2020-09-16	216237.9	12.0	47.71	66	1150000.0	28730.0	5	0
27	2007-07-18	2022-09-16	395262.88	12.0	57.27	34	1000000.0	22944.27	3	0
28	2007-07-26	2022-09-26	303569.03	13.5	60.06	24	710000.0	17637.22	3	0
29	2007-07-27	2020-07-28	234793.35	11.5	77.02	74	2699000.0	84336.55	3	0
30	2007-07-27	2021-12-28	493258.32	13.0	73.93	74	2000000.0	30117.45	3	0
31	2007-08-03	2022-07-28	516086.83	12.5	65.35	56	2000000.0	58000.0	3	0
32	2007-08-06	2027-10-06	711910.39	12.25	37.87	59	1009000.0	22121.52	3	0
33	2007-08-24	2022-10-24	260525.72	11.0	75.47	66	2000000.0	31997.68	3	0
34	2007-08-24	2022-10-24	339900.3	11.25	48.46	24	850000.0	21600.22	3	0
35	2007-08-29	2022-10-28	1044853.8	12.5	79.31	24	2500000.0	52762.5	3	0
36	2007-09-11	2022-11-11	800612.75	11.75	84.96	66	1972000.0	30015.0	3	0
37	2007-09-12	2022-09-28	442286.97	11.5	78.89	66	1450000.0	23911.52	3	0
38	2007-09-17	2022-11-17	998356.36	11.19	66.12	77	2500000.0	62601.7	3	0
39	2007-09-18	2035-03-19	512526.03	13.5	89.61	36	1450000.0	35670.0	3	0
40	2007-09-21	2027-11-22	1732046.16	11.75	88.97	77	3473700.0	113869.25	3	0
41	2007-10-01	2032-12-01	2102835.65	11.75	89.28	66	2500000.0	33365.16	3	0
42	2007-10-02	2022-12-02	466036.32	11.25	84.74	72	1500000.0	30610.18	3	0
43	2007-10-04	2020-12-04	700565.89	12.0	75.41	77	3650000.0	73250.0	3	0
44	2007-10-04	2027-06-18	1920531.12	13.65	26.65	77	2950000.0	34286.59	3	0
45	2007-10-05	2027-12-03	1382223.1	12.25	90.04	54	1945000.0	24901.66	5	0
46	2007-10-08	2022-12-08	496033.02	12.75	84.61	72	2200000.0	40894.41	3	0
