Сценарий	Отчетная дата	Кол-во закладных	Текущий ОД	Процентные поступления	Амортизация	Досрочная амортизация
0	2019-04-01	22806.0	23250456384.01015	253402368.1331197	900540803.1517487	734859393.7254071
0	2019-05-01	22172.849380280713	22349915580.858402	243455605.1385322	817209099.8575981	655392012.6747131
0	2019-06-01	21607.51201070605	21532706481.0007	234402698.28201506	724611020.4199203	566021060.5239501
0	2019-07-01	21096.71231668631	20808095460.580784	226354216.89819133	666140815.9457403	510563996.9675559
0	2019-08-01	20634.86257580152	20141954644.635063	218957833.79590917	637898526.5689232	484978482.2328672
0	2019-09-01	20207.188657307903	19504056118.066044	211886500.44199806	608946238.1008677	458524779.2671739
0	2019-10-01	19809.019180342573	18895109879.96522	205146846.55553186	595214312.5115101	447077805.7687243
0	2019-11-01	19399.268769521914	18299895567.453796	198545947.48251262	599426016.3483114	453894050.049285
0	2019-12-01	18964.822310039646	17700469551.105316	191901307.39534557	623198668.2578118	480476327.61633
0	2020-01-01	18500.619607450026	17077270882.847563	184988287.83969605	492600897.42545414	353209563.4628231
0	2020-02-01	18140.845940488558	16584669985.42222	179552068.3211137	455844831.14582324	319800734.1083894
0	2020-03-01	17759.42564621891	16128825154.27625	174518566.02255234	453649869.20539093	319916014.319497
0	2020-04-01	17415.984931035542	15675175285.070877	169526944.8499802	436031309.0698659	304970885.54697937
0	2020-05-01	17058.086407958617	15239143976.00105	164731435.23483765	421432681.2146747	292809893.17862564
0	2020-06-01	16714.844921603984	14817711294.786379	160104278.92488706	401102675.80886537	274537386.0251262
0	2020-07-01	16398.150692064613	14416608618.977535	155701668.57363328	381651024.7573732	257070341.94304168
0	2020-08-01	16114.917405831544	14034957594.220057	151515723.87829903	370408537.56247	247380431.51280418
0	2020-09-01	15820.865250716786	13664549056.657578	147455809.72000623	360633642.1415997	239358031.82072914
0	2020-10-01	15550.80925497247	13303915414.516062	143505964.14163688	368065806.0718441	248334690.84543094
0	2020-11-01	15263.489927616405	12935849608.444216	139476009.65066314	375947916.27658117	257915348.14882582
0	2020-12-01	14963.272819086176	12559901692.167685	135360496.2303024	392323832.730825	276211716.31177133
0	2021-01-01	14643.292294526533	12167577859.43688	131068611.08985455	313363442.63363814	210365231.0464016
0	2021-02-01	13674.346910661501	11854214416.803154	127640402.17930321	295670545.7173948	201161821.98823228
0	2021-03-01	12824.568725816047	11558543871.085735	124408956.57880607	286356496.0543136	198714516.10099283
0	2021-04-01	12399.81220187641	11272187375.031492	121285013.48669712	277056169.00672406	192191332.5378464
0	2021-05-01	12253.774999044714	10995131206.024706	118261749.84446572	270848080.2698592	186453681.09229183
