Сценарий	Отчетная дата	Кол-во закладных	Текущий ОД	Процентные поступления	Амортизация	Досрочная амортизация
0	2019-04-01	22806.0	23250456384.01015	253402368.1331197	900540803.1517487	734859393.7254071
0	2019-05-01	22172.849380280713	22349915580.858402	243455605.1385322	851955210.8580084	690138123.6751235
0	2019-06-01	21573.169005948184	21497960370.000286	234038883.15160093	792875658.9913344	634571004.3182826
0	2019-07-01	20994.37883362363	20705084711.008965	225266611.3318236	752941748.6819615	598176964.7008245
0	2019-08-01	20442.2094903235	19952142962.327015	216940782.85640153	736292520.5338371	584879236.1581732
0	2019-09-01	19908.401478161737	19215850441.79309	208808840.7039224	707324674.3063219	559223669.8266935
0	2019-10-01	19400.141426220453	18508525767.48681	201002776.65532166	697441289.6394552	552468586.4237168
0	2019-11-01	18872.321637929024	17811084477.847435	193290425.65380323	708220710.3869008	566764029.8209243
0	2019-12-01	18306.346927340386	17102863767.460373	185458320.87386337	743760790.2587017	606116435.8658296
0	2020-01-01	17693.8635039049	16359102977.20172	177224123.87379843	568952982.0648043	435757772.806316
0	2020-02-01	17233.72467516362	15790149995.137026	170946178.5643029	527429605.7421597	398375876.10583603
0	2020-03-01	16749.730602021194	15262720389.394733	165121164.55982926	520218452.0150292	394314527.3518522
0	2020-04-01	16315.808634677365	14742501937.37972	159391874.2855505	494433002.3086376	371868058.37746084
0	2020-05-01	15875.749989135747	14248068935.071121	153944859.81496924	475194729.7063654	355738922.0743564
0	2020-06-01	15449.341543415381	13772874205.364752	148715935.8644484	446054311.93301284	329371257.40254027
0	2020-07-01	15060.879151489524	13326819893.431763	143807052.37542927	420462369.5987288	306378967.1435977
0	2020-08-01	14714.032950167959	12906357523.832932	139181234.2754321	403393145.29053223	291393504.6411214
0	2020-09-01	14361.127228650155	12502964378.542393	134745542.77106777	389955896.22105443	280215769.3771116
0	2020-10-01	14034.823995846999	12113008482.321417	130460561.85490379	395440083.0507621	287733728.73042786
0	2020-11-01	13695.897124945039	11717568399.270645	126118140.02153149	405413850.4594468	299861158.788447
0	2020-12-01	13340.26146629777	11312154548.811245	121667027.869099	421012925.29596436	317911264.8225144
0	2021-01-01	12957.122082441696	10891141623.515305	117045070.87016292	326181083.1859454	235771268.09125328
0	2021-02-01	12017.567506555708	10564960540.329283	113466712.99711631	308059967.5007763	225195480.88626856
0	2021-03-01	11265.547520029584	10256900572.82848	110091370.4445082	297337784.67625964	220340231.38043132
0	2021-04-01	10872.950023640493	9959562788.152288	106840115.01552814	284185530.64390653	209740756.083951
0	2021-05-01	10696.264511373753	9675377257.508326	103730645.38935538	277323322.87342566	203635345.31537336
0	2021-06-01	10521.6659502667	9398053934.634949	100702360.58381096	269487891.1460388	196575338.5640305
0	2021-07-01	10352.937774016556	9128566043.48893	97758933.08527824	267955970.96626827	195694940.02556387
0	2021-08-01	10184.424173987287	8860610072.522615	94838622.46980476	263706279.51528844	192261636.19501224
0	2021-09-01	10016.758418205696	8596903793.00732	91972473.68048595	249352235.09749365	178744622.21796176
