Сценарий	Отчетная дата	Кол-во закладных	Текущий ОД	Процентные поступления	Амортизация	Досрочная амортизация
0	2019-04-01	22806.0	23250456384.01015	253402368.1331197	900540803.1517487	734859393.7254071
0	2019-05-01	22172.849380280713	22349915580.858402	243455605.1385322	773102483.9277203	611285396.7448354
0	2019-06-01	21650.501692570673	21576813096.930576	234872657.37720147	660267470.6878016	501359540.915204
0	2019-07-01	21209.80480970178	20916545626.242783	227525893.85971773	596648211.9874904	440224034.59312993
0	2019-08-01	20826.817636247644	20319897414.255302	220895133.5694937	567127466.6365188	412770918.53089046
0	2019-09-01	20481.937131333652	19752769947.618694	214616048.6093372	535719819.127769	383260289.06395984
0	2019-10-01	20170.828467421165	19217050128.490974	208703064.38912255	523800661.2798729	372997260.1832665
0	2019-11-01	19849.066947573687	18693249467.21118	202914071.2911781	523437618.000847	374576066.17578906
0	2019-12-01	19507.050889647	18169811849.210167	197134659.221983	551243117.1468685	404435783.21922743
0	2020-01-01	19137.774869799854	17618568732.063354	191049840.83542743	449489214.85493255	305303523.94543487
0	2020-02-01	18837.46394520009	17169079517.208542	186110084.51482025	418725282.0351017	277317741.8911617
0	2020-03-01	18516.782590273604	16750354235.173288	181505363.2951697	423650666.0770477	284104887.5873896
0	2020-04-01	18218.083690001684	16326703569.096258	176861397.0457559	411307052.06239665	274105061.63068134
0	2020-05-01	17898.90599761119	15915396517.033901	172352777.20624396	401353853.641009	266287731.5812983
0	2020-06-01	17584.54762797203	15514042663.392897	167961052.02738708	384837269.65836644	251576707.95100093
0	2020-07-01	17296.871683043984	15129205393.734545	163751434.57440656	367570096.3233997	236038535.9190756
0	2020-08-01	17042.649233775795	14761635297.411043	159735135.32373497	359476079.59038717	229216747.74544144
0	2020-09-01	16773.674841136093	14402159217.82064	155809737.21106538	349389334.3929138	220635109.78206766
0	2020-10-01	16525.618326036412	14052769883.427822	151995834.66011274	359576639.5320249	232152717.96267414
0	2020-11-01	16261.05033801138	13693193243.895784	148071810.4626345	365887147.984061	239961333.4140018
0	2020-12-01	15981.35626294273	13327306095.911781	144080200.9701596	381252893.45159745	257018305.89738262
0	2021-01-01	15679.934737821777	12946053202.46021	139927356.86802745	311087262.7952392	200365270.5109613
0	2021-02-01	14692.273058845089	12634965939.66487	136533948.99486858	293307194.1557994	191627665.50281698
0	2021-03-01	13782.21595681088	12341658745.509052	133338043.5051808	283020044.9612372	188927168.57598084
0	2021-04-01	13306.64715906681	12058638700.547884	130259115.84536968	276864685.52103555	185937069.38830498
0	2021-05-01	13170.415257521563	11781774015.026783	127245132.50750321	271956869.442382	181382188.44371173
0	2021-06-01	13032.981581990547	11509817145.584465	124288751.95733744	263228166.98707476	173078746.30202422
0	2021-07-01	12898.74506426654	11246588978.597418	121423912.02948445	265885347.85735565	176048721.9867353
0	2021-08-01	12763.81089428385	10980703630.739996	118537212.76994652	260653078.2372709	171264648.00707692
0	2021-09-01	12629.901749536357	10720050552.502724	115710597.38878304	251086891.34918195	162099980.86612648
0	2021-10-01	12493.852095218263	10468963661.153536	112982795.74599776	258618207.52667767	170089927.70815617
0	2021-11-01	12348.82089163043	10210345453.626896	110174354.32046336	264717866.4388355	176757905.37260416
0	2021-12-01	12186.992698295893	9945627587.188015	107295783.36500278	281494411.01151645	194203141.59062687
0	2022-01-01	12003.912609617324	9664133176.17654	104234446.74303085	237116946.51499903	150680299.3237361
0	2022-02-01	11868.382281062719	9427016229.661528	101661664.869116	230013981.33308247	144124019.7977931
0	2022-03-01	11736.793483995254	9197002248.328432	99160265.2425892	229898186.32500875	144389432.09235683
0	2022-04-01	11609.537577218833	8967104062.003408	96669512.4993706	224814595.5188347	139901955.52880186
0	2022-05-01	11476.972857147763	8742289466.484602	94231593.15210253	222198959.85265547	137867133.5143811
0	2022-06-01	11351.073173756198	8520090506.631948	91822897.39567481	219425293.1416318	135651421.8145948
0	2022-07-01	11220.568984127542	8300665213.490286	89439440.68187967	217628051.93042785	134401412.99246237
0	2022-08-01	11083.476796216373	8083037161.559902	87081068.67890613	214211067.96205354	131654065.2089623
0	2022-09-01	10956.562276780725	7868826093.597842	84757338.77362628	203533515.00923812	121637644.73095664
0	2022-10-01	10809.98391871166	7665292578.588584	82551491.67145498	210689222.61143455	129461115.22464816
0	2022-11-01	10662.51612658192	7454603355.977146	80268554.68727833	213218419.21542594	132788137.92011702
0	2022-12-01	10499.623573574578	7241384936.761745	77954230.53985916	223648547.1368706	144051589.60804677
0	2023-01-01	10315.314911751362	7017736389.6248665	75526493.5690966	194584311.3364345	115992411.31748235
0	2023-02-01	10179.655904002015	6823152078.288427	73423022.05556959	187721678.2907996	109743115.74277976
0	2023-03-01	10033.053485783765	6635430399.997627	71387730.51968148	186991257.6766595	109736735.83327615
0	2023-04-01	9894.912694437646	6448439142.320976	69361678.29580407	183770785.21905094	107402841.41647953
0	2023-05-01	9721.760201494817	6264668357.101921	67372393.26125857	176647479.57856846	101458111.62811954
0	2023-06-01	9546.718205708443	6088020877.523349	65462578.067127585	178053498.38516894	104130183.03811419
0	2023-07-01	9364.330378638879	5909967379.138177	63539672.69520917	168701042.99406597	96615928.29984479
0	2023-08-01	9138.219782846456	5741266336.144115	61714324.42482414	168354938.78640035	98130094.10287812
0	2023-09-01	8948.22165069665	5572911397.357716	59892279.3622104	165088256.9761265	96383482.56347704
0	2023-10-01	8776.424807847487	5407823140.381579	58110083.16744817	160480792.04844147	93265103.82280162
0	2023-11-01	8583.330905743143	5247342348.333145	56374776.72535502	159448866.41541034	93730130.71921471
0	2023-12-01	8412.34239602694	5087893481.917731	54649682.73381018	167903874.43297216	103449932.65670654
0	2024-01-01	8209.931715318871	4919989607.484765	52835088.498886965	145702085.91665834	82838594.18712601
0	2024-02-01	8045.770563122122	4774287521.568101	51261992.242360204	139580553.05604768	77800971.01487528
0	2024-03-01	7912.776939871321	4634706968.512043	49754468.074152976	142837065.6928632	81833382.05640513
0	2024-04-01	7787.21400752039	4491869902.81919	48214033.22633363	133947349.00570351	73663253.91424197
0	2024-05-01	7667.67795028351	4357922553.813495	46765354.427401036	132345965.84539159	72690868.79501297
0	2024-06-01	7534.849261586652	4225576587.9681025	45336647.413341515	130833064.51789922	72032166.48373905
0	2024-07-01	7406.055663950097	4094743523.450205	43921789.4693165	128565576.33220129	70530403.00511853
0	2024-08-01	7277.334192220176	3966177947.1179986	42531231.47142866	123818932.53973114	67825250.06471202
0	2024-09-01	6916.597968874264	3842359014.5782747	41195947.71601195	122346133.7379651	68439237.27152613
0	2024-10-01	6811.723318272222	3720012880.840301	39879254.18343116	116090513.73957916	63028677.25434564
0	2024-11-01	6651.322830278859	3603922367.100722	38626090.97463742	118134199.09369636	69982786.67343785
0	2024-12-01	6128.976232579446	3485788168.007024	37354189.58690148	115187226.86998492	74902690.1446525
0	2025-01-01	5555.573296325923	3370600941.137046	36109077.75331087	102031614.76471905	62807373.65518163
0	2025-02-01	5486.122224512062	3268569326.3723264	35006360.57468921	98928597.50141895	60068084.346909225
0	2025-03-01	5407.082375889716	3169640728.870898	33936708.51975404	96088079.38905641	57606815.758234866
0	2025-04-01	5326.558109320773	3073552649.48184	32897695.639777258	88339934.71200259	50205959.17609805
