Номер закладной	Дата выдачи	Дата погашения	Текущий ОД	Ставка по кредиту	Кредит/Залог	Регион	Первоначальный ОД	Доходы заемщика	Образование	Продукт
0	2015-11-23	2035-08-10	573985.15	14.0	87.79	66	1045000.0	19144.99	4	0
1	2014-10-28	2034-12-28	2545534.77	12.25	47.08	78	3117000.0	55000.0	5	0
2	2014-09-05	2029-11-05	2142697.91	12.25	64.25	78	2435000.0	45000.0	5	0
3	2014-09-11	2029-11-12	2648052.99	12.15	46.0	78	2990000.0	37576.37	5	0
4	2014-09-03	2030-05-20	1637030.21	11.65	69.0	78	2001000.0	41419.32	5	0
5	2014-09-02	2039-11-02	1340799.87	12.55	52.48	78	1732000.0	32068.94	5	0
6	2014-08-27	2026-08-28	745825.22	13.15	83.33	78	1000001.0	33369.91	4	0
7	2014-08-26	2034-06-19	2089747.3	11.65	68.18	78	3000000.0	59350.35	5	0
8	2014-08-25	2029-10-25	3039387.32	12.15	76.25	78	4880000.0	136068.5	5	0
9	2014-08-21	2027-10-28	1528100.77	12.15	63.64	78	2100000.0	63696.51	5	0
10	2014-08-19	2021-10-19	1125649.6	11.65	73.15	78	2180000.0	83844.63	5	0
11	2014-09-16	2028-11-16	1540138.87	11.65	68.63	78	2100000.0	72053.38	5	0
12	2014-08-21	2024-10-21	1028028.71	12.05	54.05	78	1400000.0	46847.1	4	0
13	2014-08-14	2029-10-12	2187135.4	12.25	79.73	78	3500000.0	36463.05	5	0
14	2014-08-11	2022-01-18	642449.07	12.55	58.06	78	1800000.0	42038.67	6	0
15	2014-08-04	2024-10-04	1954449.47	12.75	61.62	78	2625000.0	120000.0	5	0
16	2014-08-01	2028-12-18	984637.52	11.65	79.33	78	3570000.0	54902.64	5	0
17	2014-07-31	2022-09-30	1403635.13	12.15	65.71	78	2300000.0	60000.0	5	0
18	2014-07-30	2024-09-30	1822302.75	12.15	65.79	78	2500000.0	50000.0	5	0
19	2014-07-29	2034-09-29	970516.28	12.55	76.92	78	2000000.0	45000.0	5	0
20	2014-07-25	2034-09-25	2816745.7	12.75	65.0	78	2990000.0	60000.0	5	0
21	2014-07-23	2029-09-21	1739315.39	12.15	53.45	78	1983000.0	40000.86	4	0
22	2014-07-11	2029-09-11	1354219.54	12.65	84.97	78	1538000.0	36522.38	4	0
23	2014-08-19	2027-04-19	1396627.76	12.15	72.03	78	2377000.0	50000.0	4	0
24	2014-07-02	2031-03-10	584727.7	12.05	44.94	78	1600000.0	58776.38	5	0
25	2014-09-17	2024-11-15	1047913.91	13.45	40.0	78	1400000.0	45000.0	6	0
26	2014-10-07	2020-12-07	1577249.12	12.25	51.95	78	4000000.0	200000.0	6	0
27	2014-12-04	2022-10-28	847871.05	12.55	36.32	78	1700000.0	38520.66	5	0
28	2014-12-17	2032-02-17	13864288.54	13.25	48.94	78	15000000.0	400000.0	5	0
29	2015-02-13	2030-08-19	1879216.69	12.75	60.81	78	2317000.0	44000.0	5	0
30	2014-11-28	2025-01-28	954949.07	12.05	32.56	78	1260000.0	32162.3	5	0
31	2014-11-24	2026-01-19	1930807.01	12.45	72.37	78	2750000.0	68627.26	5	0
32	2014-11-19	2030-02-28	1714711.5	11.45	53.99	78	2300000.0	47201.97	5	0
33	2014-11-20	2024-08-28	537637.35	13.05	50.0	78	3100000.0	80000.0	5	0
34	2014-11-17	2026-04-10	1504261.58	13.05	58.32	78	2251000.0	100000.0	5	0
35	2014-11-07	2030-01-07	1809538.79	12.15	75.74	78	2825000.0	67893.1	5	0
36	2014-11-06	2025-01-06	1190664.99	12.45	46.08	78	3000000.0	83940.71	5	0
37	2014-10-08	2024-12-06	1647542.46	12.45	55.83	78	2300000.0	42962.5	5	0
38	2014-11-06	2029-09-10	1842054.97	12.95	35.77	78	2500000.0	70000.0	4	0
39	2014-10-24	2029-04-10	397282.02	12.15	34.95	78	2362500.0	58201.21	5	0
40	2014-10-23	2026-10-28	577493.65	13.45	34.95	78	1440000.0	42000.0	4	0
41	2014-10-22	2024-12-20	1943384.73	12.15	78.48	78	2590000.0	61403.04	5	0
42	2014-10-20	2038-10-28	1371547.17	11.65	72.73	78	3200000.0	30450.0	5	0
43	2014-10-15	2031-12-15	3442943.77	12.45	80.0	78	3760000.0	94256.89	5	0
44	2014-10-03	2026-12-03	1841261.91	12.15	31.39	78	2260000.0	52200.0	5	0
45	2014-09-30	2029-01-29	1443429.68	12.45	37.38	78	3390000.0	75187.33	5	0
46	2014-09-26	2024-11-26	1268877.88	12.55	42.5	78	1700000.0	68817.6	5	0
47	2014-09-23	2024-11-22	774799.94	12.05	35.1	78	1225000.0	72438.55	5	0
48	2014-09-22	2022-07-28	797996.93	13.45	46.88	78	1500000.0	50000.0	5	0
49	2014-10-28	2034-04-28	3587797.58	12.45	83.07	78	4270000.0	90000.0	4	0
50	2014-06-26	2029-08-24	1335832.99	11.75	37.2	78	2020000.0	60000.0	5	0
51	2014-06-25	2039-08-25	2227013.47	12.15	69.28	78	2300000.0	50100.0	5	0
52	2014-06-25	2029-08-24	1144153.01	12.55	50.78	78	1300000.0	40000.0	5	0
53	2013-12-10	2021-02-10	3467265.24	12.2	64.32	78	8034000.0	250000.0	4	0
54	2013-12-02	2022-08-18	913873.25	13.55	65.15	78	2000000.0	65686.4	5	0
55	2013-11-12	2023-07-28	656351.99	13.8	41.59	78	1830000.0	72000.0	6	0
56	2013-12-23	2024-02-23	0.34	11.8	50.87	78	7000000.0	220000.0	5	0
57	2013-11-06	2028-11-28	1536938.86	12.8	51.47	78	2200000.0	55630.87	5	0
58	2013-11-29	2029-01-29	1456202.83	12.8	36.09	78	1700000.0	52076.47	6	0
59	2013-10-21	2028-12-21	2639773.98	12.55	66.43	78	3700000.0	133973.72	5	0
60	2013-09-25	2022-10-10	1202289.03	14.05	64.85	78	2827500.0	150000.0	3	0
61	2013-09-25	2022-10-10	1283725.45	13.3	40.56	78	2300000.0	104400.0	5	0
62	2013-09-19	2025-08-18	1304507.26	13.3	46.67	78	1750000.0	24627.34	4	0
63	2013-12-11	2029-02-09	1688220.71	13.8	47.56	78	1950000.0	70000.0	6	0
64	2013-09-17	2020-11-17	387112.73	12.95	26.3	78	970000.0	40000.0	4	0
65	2013-09-05	2019-04-29	2172.94	13.8	48.92	78	2500000.0	75000.0	5	0
66	2013-09-02	2020-11-02	372315.69	12.95	21.8	78	970000.0	52200.0	5	0
67	2013-08-29	2023-10-27	1331273.7	13.8	45.45	78	2000000.0	55000.0	3	0
68	2013-08-29	2023-06-19	1354532.91	13.8	40.45	78	2500000.0	50000.0	5	0
69	2013-08-28	2023-10-27	1744423.15	13.8	53.51	78	2600000.0	150000.0	5	0
70	2013-08-26	2028-10-26	1773173.61	14.15	60.6	78	2060500.0	80000.0	6	0
71	2013-08-12	2020-10-12	718442.18	11.4	40.0	78	2000000.0	34000.0	5	0
72	2013-08-09	2023-08-18	988362.29	12.8	44.44	78	2000000.0	43500.0	5	0
73	2013-07-24	2018-11-12	6014.79	13.8	55.33	78	2700000.0	90000.0	5	0
74	2013-07-19	2028-09-19	1712403.27	14.15	60.42	78	2000000.0	45000.0	5	0
75	2013-09-10	2028-11-10	2261054.03	14.05	65.0	78	2619500.0	60000.0	3	0
76	2013-12-28	2024-02-28	1549499.54	13.8	38.95	78	2220000.0	55000.0	5	0
77	2014-02-05	2023-02-28	1170434.58	12.7	81.82	78	2880000.0	79600.0	5	0
78	2014-02-18	2024-04-18	1665689.6	12.55	60.0	78	3000000.0	100000.0	4	0
79	2014-06-19	2034-04-28	6037937.56	12.25	37.75	78	6900000.0	130000.0	5	0
80	2014-07-03	2030-09-03	1426169.47	12.05	53.87	78	1600000.0	31466.98	3	0
81	2014-06-03	2029-08-03	1756959.97	12.75	58.82	78	2000001.0	44000.0	4	0
82	2014-06-19	2034-08-18	2149680.49	12.75	48.47	78	2283000.0	45000.0	5	0
83	2014-05-28	2019-04-10	96508.88	11.75	45.68	78	2010000.0	69280.71	5	0
84	2014-05-27	2019-07-18	124689.14	11.65	51.41	78	2000010.0	72213.33	5	0
85	2014-05-15	2027-07-15	2054320.21	11.85	58.14	78	2500000.0	60000.0	5	0
86	2014-05-14	2021-07-14	656241.44	13.15	40.88	78	1300000.0	42400.0	4	0
87	2014-05-14	2024-07-12	1649574.88	12.35	42.36	78	2300000.0	35000.0	5	0
88	2014-05-13	2028-07-13	2981633.45	12.25	86.63	78	3500000.0	32905.58	4	0
89	2014-05-05	2034-07-05	2294420.89	12.35	63.85	78	3055000.0	60000.0	4	0
90	2014-04-29	2034-05-29	1060340.83	12.75	56.66	78	2170000.0	47000.0	5	0
91	2014-04-28	2024-03-11	1639159.21	11.85	89.5	78	4815000.0	51392.88	6	0
92	2014-04-24	2021-01-11	850253.55	12.35	35.26	78	2010000.0	68000.0	5	0
93	2014-04-17	2024-05-20	588174.01	11.65	26.32	78	1500000.0	64106.33	3	0
94	2014-04-11	2021-06-11	882039.86	12.75	47.07	78	1800000.0	60000.0	5	0
95	2014-04-03	2022-01-28	1191153.54	12.35	64.71	78	3080000.0	70000.0	4	0
96	2014-04-02	2020-05-11	374025.85	12.75	64.95	78	1820000.0	200000.0	5	0
97	2014-04-02	2018-09-06	0.0	12.35	42.85	78	15000000.0	500000.0	5	0
98	2014-03-28	2027-05-28	1665441.36	13.8	44.44	78	2000000.0	70000.0	5	0
99	2014-04-09	2026-03-30	750874.74	12.75	88.29	78	1386161.0	45222.6	3	0
100	2014-03-27	2034-05-26	1620356.44	11.75	79.45	78	5800000.0	200000.0	5	0
101	2014-03-14	2020-12-28	809290.22	12.35	56.56	78	2500000.0	130000.0	5	0
102	2014-12-18	2030-02-18	1743752.29	13.35	43.88	78	1935000.0	46000.0	5	0
103	2014-12-05	2025-11-28	1078357.07	12.85	34.02	78	1820000.0	45000.0	4	0
104	2014-12-08	2020-11-30	303185.43	12.85	63.67	78	1700000.0	24360.0	3	0
105	2014-12-09	2019-03-28	132020.25	12.55	69.77	78	1500000.0	74239.56	3	0
106	2014-03-18	2034-01-30	1523569.35	12.15	44.16	69	1700000.0	44272.68	5	0
107	2014-03-19	2018-12-28	23969.52	11.65	89.67	69	1650000.0	35919.11	5	0
108	2014-03-28	2034-05-26	782025.27	12.75	65.0	69	1300000.0	60000.0	5	0
109	2014-02-25	2025-06-30	522596.0	12.75	81.82	69	1400000.0	30000.0	5	0
110	2014-02-14	2023-08-28	696577.58	12.75	31.7	69	1100000.0	40000.0	5	0
111	2014-02-11	2029-04-11	398969.03	13.45	64.89	69	510000.0	40000.0	5	0
112	2014-02-07	2029-02-28	1799745.28	13.8	55.52	69	2500000.0	140000.0	5	0
113	2013-12-30	2026-02-27	624207.64	13.3	32.56	69	800000.0	50123.97	4	0
114	2013-12-30	2020-01-28	336450.02	13.7	64.52	69	1400000.0	40000.0	5	0
115	2013-12-27	2029-02-27	1161486.14	14.05	64.98	69	1332000.0	38000.0	5	0
116	2014-04-01	2029-06-01	1738993.56	12.35	51.05	69	2010000.0	47000.0	5	0
117	2013-12-26	2029-02-26	717504.52	13.3	44.35	69	950000.0	53097.67	5	0
118	2013-12-12	2021-02-12	329989.45	13.45	34.53	69	770000.0	30000.0	4	0
119	2013-12-04	2024-02-02	1071627.76	12.3	41.75	69	2000000.0	65933.75	5	0
120	2013-11-13	2021-01-13	404514.04	12.2	76.75	69	1000000.0	52000.0	5	0
121	2013-11-15	2021-01-15	436299.61	13.45	59.07	69	1055000.0	26000.0	4	0
122	2013-10-30	2033-09-28	905701.8	14.1	51.85	69	1400000.0	35000.0	5	0
123	2013-10-23	2033-12-23	749937.86	14.1	35.24	69	800000.0	25000.0	4	0
124	2013-10-31	2028-11-28	543544.04	13.8	59.43	69	1500000.0	46000.0	5	0
125	2013-10-01	2020-12-01	621640.53	11.95	49.23	69	1600000.0	146078.24	5	0
126	2013-09-10	2028-11-10	1263641.7	12.55	64.54	69	1500000.0	37500.0	5	0
